UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
priya       1360    1307    1488  0    3 17:56 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
priya       1436       1    1436  0    1 17:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
priya       1437    1436    1437  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
priya       1437    1436    1439  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
priya       1437    1436    1440  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
priya       1448       1    1448  0    1 17:56 ?        00:00:00 /usr/bin/VBoxClient --seamless
priya       1449    1448    1449  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --seamless
priya       1449    1448    1450  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --seamless
priya       1449    1448    1451  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --seamless
priya       1455       1    1455  0    1 17:56 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
priya       1456    1455    1456  0    4 17:56 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
priya       1456    1455    1457  0    4 17:56 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
priya       1456    1455    1458  0    4 17:56 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
priya       1456    1455    1459  0    4 17:56 ?        00:00:17 /usr/bin/VBoxClient --draganddrop
priya       1463       1    1463  0    1 17:56 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
priya       1464    1463    1464  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
priya       1464    1463    1465  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
priya       1464    1463    1466  0    3 17:56 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
priya       1470    1360    1470  0    1 17:56 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
priya       1494    1259    1494  0    4 17:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
priya       1494    1259    1495  0    4 17:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
priya       1494    1259    1496  0    4 17:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
priya       1494    1259    1497  0    4 17:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
priya       1500    1494    1500  0    1 17:56 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
priya       1513    1259    1513  0    2 17:56 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
priya       1513    1259    1515  0    2 17:56 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
priya       1520    1259    1520  0    4 17:56 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
priya       1520    1259    1521  0    4 17:56 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
priya       1520    1259    1522  0    4 17:56 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
priya       1520    1259    1524  0    4 17:56 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
priya       1534    1259    1534  4   11 17:56 ?        00:04:13 /usr/bin/gnome-shell
priya       1534    1259    1546  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1548  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1549  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1550  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1551  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1552  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1553  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1554  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1555  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1534    1259    1889  0   11 17:56 ?        00:00:00 /usr/bin/gnome-shell
priya       1556    1534    1556  0    3 17:56 ?        00:00:00 ibus-daemon --panel disable --xim
priya       1556    1534    1557  0    3 17:56 ?        00:00:00 ibus-daemon --panel disable --xim
priya       1556    1534    1558  0    3 17:56 ?        00:00:00 ibus-daemon --panel disable --xim
priya       1560    1556    1560  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-dconf
priya       1560    1556    1568  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-dconf
priya       1560    1556    1571  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-dconf
priya       1560    1556    1572  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-dconf
priya       1561    1556    1561  0    4 17:56 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
priya       1561    1556    1573  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
priya       1561    1556    1574  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
priya       1561    1556    1582  0    4 17:56 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
priya       1563    1259    1563  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
priya       1563    1259    1575  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
priya       1563    1259    1577  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
priya       1565    1259    1565  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-portal
priya       1565    1259    1566  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-portal
priya       1565    1259    1567  0    3 17:56 ?        00:00:00 /usr/libexec/ibus-portal
priya       1579    1259    1579  0    3 17:56 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
priya       1579    1259    1580  0    3 17:56 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
priya       1579    1259    1581  0    3 17:56 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
priya       1583    1259    1583  0    3 17:56 ?        00:00:00 /usr/libexec/xdg-permission-store
priya       1583    1259    1584  0    3 17:56 ?        00:00:00 /usr/libexec/xdg-permission-store
priya       1583    1259    1586  0    3 17:56 ?        00:00:00 /usr/libexec/xdg-permission-store
priya       1588    1259    1588  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1588    1259    1589  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1588    1259    1591  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1588    1259    1592  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1588    1259    1593  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1588    1259    1603  0    6 17:56 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
priya       1594    1259    1594  0    4 17:56 ?        00:00:00 /usr/libexec/evolution-source-registry
priya       1594    1259    1595  0    4 17:56 ?        00:00:00 /usr/libexec/evolution-source-registry
priya       1594    1259    1596  0    4 17:56 ?        00:00:00 /usr/libexec/evolution-source-registry
priya       1594    1259    1597  0    4 17:56 ?        00:00:00 /usr/libexec/evolution-source-registry
priya       1604    1259    1604  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1605  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1606  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1607  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1608  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1609  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1613  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1614  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1604    1259    1619  0    9 17:56 ?        00:00:00 /usr/libexec/evolution-calendar-factory
priya       1612    1259    1612  0    3 17:56 ?        00:00:00 /usr/libexec/dconf-service
priya       1612    1259    1615  0    3 17:56 ?        00:00:00 /usr/libexec/dconf-service
priya       1612    1259    1616  0    3 17:56 ?        00:00:00 /usr/libexec/dconf-service
