    PID     LWP TTY          TIME CMD
   1360    1488 tty2     00:00:00 gdbus
   1436    1436 ?        00:00:00 VBoxClient
   1437    1437 ?        00:00:00 VBoxClient
   1437    1439 ?        00:00:00 RTThrdPP
   1437    1440 ?        00:00:00 SHCLX11
   1448    1448 ?        00:00:00 VBoxClient
   1449    1449 ?        00:00:00 VBoxClient
   1449    1450 ?        00:00:00 RTThrdPP
   1449    1451 ?        00:00:00 X11 events
   1455    1455 ?        00:00:00 VBoxClient
   1456    1456 ?        00:00:00 VBoxClient
   1456    1457 ?        00:00:00 RTThrdPP
   1456    1458 ?        00:00:00 dndHGCM
   1456    1459 ?        00:00:19 dndX11
   1463    1463 ?        00:00:00 VBoxClient
   1464    1464 ?        00:00:00 VBoxClient
   1464    1465 ?        00:00:00 RTThrdPP
   1464    1466 ?        00:00:00 X11 events
   1470    1470 ?        00:00:00 ssh-agent
   1494    1494 ?        00:00:00 at-spi-bus-laun
   1494    1495 ?        00:00:00 gmain
   1494    1496 ?        00:00:00 gdbus
   1494    1497 ?        00:00:00 dconf worker
   1500    1500 ?        00:00:00 dbus-daemon
   1513    1513 ?        00:00:00 gnome-session-c
   1513    1515 ?        00:00:00 gmain
   1520    1520 ?        00:00:00 gnome-session-b
   1520    1521 ?        00:00:00 gmain
   1520    1522 ?        00:00:00 gdbus
   1520    1524 ?        00:00:00 dconf worker
   1534    1534 ?        00:05:02 gnome-shell
   1534    1546 ?        00:00:00 gmain
   1534    1548 ?        00:00:00 gdbus
   1534    1549 ?        00:00:00 dconf worker
   1534    1550 ?        00:00:00 gnome-s:disk$0
   1534    1551 ?        00:00:00 gnome-s:disk$1
   1534    1552 ?        00:00:00 gnome-s:disk$2
   1534    1553 ?        00:00:00 gnome-s:disk$3
   1534    1554 ?        00:00:00 JS Helper
   1534    1555 ?        00:00:00 JS Helper
   1534    1889 ?        00:00:00 threaded-ml
   1556    1556 ?        00:00:00 ibus-daemon
   1556    1557 ?        00:00:00 gmain
   1556    1558 ?        00:00:00 gdbus
   1560    1560 ?        00:00:00 ibus-dconf
   1560    1568 ?        00:00:00 gmain
   1560    1571 ?        00:00:00 gdbus
   1560    1572 ?        00:00:00 dconf worker
   1561    1561 ?        00:00:01 ibus-extension-
   1561    1573 ?        00:00:00 gmain
   1561    1574 ?        00:00:00 gdbus
   1561    1582 ?        00:00:00 dconf worker
   1563    1563 ?        00:00:00 ibus-x11
   1563    1575 ?        00:00:00 gmain
   1563    1577 ?        00:00:00 gdbus
   1565    1565 ?        00:00:00 ibus-portal
   1565    1566 ?        00:00:00 gmain
   1565    1567 ?        00:00:00 gdbus
   1579    1579 ?        00:00:01 at-spi2-registr
   1579    1580 ?        00:00:00 gmain
   1579    1581 ?        00:00:00 gdbus
   1583    1583 ?        00:00:00 xdg-permission-
   1583    1584 ?        00:00:00 gmain
   1583    1586 ?        00:00:00 gdbus
   1588    1588 ?        00:00:00 gnome-shell-cal
   1588    1589 ?        00:00:00 gmain
   1588    1591 ?        00:00:00 gdbus
   1588    1592 ?        00:00:00 dconf worker
   1588    1593 ?        00:00:00 gnome-shell-cal
   1588    1603 ?        00:00:00 pool-gnome-shel
   1594    1594 ?        00:00:00 evolution-sourc
   1594    1595 ?        00:00:00 gmain
   1594    1596 ?        00:00:00 gdbus
   1594    1597 ?        00:00:00 dconf worker
   1604    1604 ?        00:00:00 evolution-calen
   1604    1605 ?        00:00:00 gmain
   1604    1606 ?        00:00:00 gdbus
   1604    1607 ?        00:00:00 dconf worker
   1604    1608 ?        00:00:00 evolution-calen
   1604    1609 ?        00:00:00 pool-evolution-
   1604    1613 ?        00:00:00 pool-evolution-
   1604    1614 ?        00:00:00 evolution-calen
   1604    1619 ?        00:00:00 pool-evolution-
   1612    1612 ?        00:00:00 dconf-service
   1612    1615 ?        00:00:00 gmain
   1612    1616 ?        00:00:00 gdbus
   1617    1617 ?        00:00:00 evolution-addre
   1617    1624 ?        00:00:00 gmain
   1617    1625 ?        00:00:00 gdbus
   1617    1627 ?        00:00:00 dconf worker
   1617    1628 ?        00:00:00 evolution-addre
   1617    1630 ?        00:00:00 pool-evolution-
   1638    1638 ?        00:00:00 gjs
   1638    1646 ?        00:00:00 JS Helper
   1638    1647 ?        00:00:00 JS Helper
   1638    1650 ?        00:00:00 gmain
   1638    1651 ?        00:00:00 gdbus
   1641    1641 ?        00:00:00 gvfsd-trash
   1641    1642 ?        00:00:00 gmain
   1641    1644 ?        00:00:00 gdbus
   1660    1660 ?        00:00:00 gsd-a11y-settin
   1660    1665 ?        00:00:00 gmain
   1660    1671 ?        00:00:00 gdbus
   1660    1684 ?        00:00:00 dconf worker
   1661    1661 ?        00:00:00 gsd-color
   1661    1712 ?        00:00:00 gmain
   1661    1746 ?        00:00:00 gdbus
   1661    1751 ?        00:00:00 dconf worker
   1662    1662 ?        00:00:00 gsd-datetime
   1662    1697 ?        00:00:00 gmain
   1662    1728 ?        00:00:00 gdbus
   1662    1789 ?        00:00:00 dconf worker
   1663    1663 ?        00:00:00 gsd-housekeepin
   1663    1668 ?        00:00:00 gmain
   1663    1678 ?        00:00:00 gdbus
   1663    1701 ?        00:00:00 dconf worker
   1670    1670 ?        00:00:00 gsd-keyboard
   1670    1704 ?        00:00:00 gmain
   1670    1740 ?        00:00:00 gdbus
   1670    1748 ?        00:00:00 dconf worker
   1673    1673 ?        00:00:00 gsd-media-keys
   1673    1722 ?        00:00:00 gmain
   1673    1726 ?        00:00:00 gdbus
   1673    1785 ?        00:00:00 dconf worker
   1679    1679 ?        00:00:00 gsd-power
   1679    1724 ?        00:00:00 gmain
   1679    1738 ?        00:00:00 gdbus
   1679    1792 ?        00:00:00 dconf worker
   1679    7634 ?        00:00:00 threaded-ml
   1682    1682 ?        00:00:00 gsd-print-notif
   1682    1690 ?        00:00:00 gmain
   1682    1695 ?        00:00:00 gdbus
   1683    1683 ?        00:00:00 gsd-rfkill
   1683    1686 ?        00:00:00 gmain
   1683    1689 ?        00:00:00 gdbus
   1687    1687 ?        00:00:00 gsd-screensaver
   1687    1691 ?        00:00:00 gmain
   1687    1700 ?        00:00:00 gdbus
   1688    1688 ?        00:00:00 gsd-sharing
   1688    1692 ?        00:00:00 gmain
   1688    1729 ?        00:00:00 gdbus
   1688    1741 ?        00:00:00 dconf worker
   1694    1694 ?        00:00:00 gsd-smartcard
   1694    1703 ?        00:00:00 gmain
   1694    1727 ?        00:00:00 gdbus
   1694    1767 ?        00:00:00 pool-gsd-smartc
   1694    1781 ?        00:00:00 dconf worker
   1698    1698 ?        00:00:00 gsd-sound
   1698    1708 ?        00:00:00 gmain
   1698    1731 ?        00:00:00 gdbus
   1698    1783 ?        00:00:00 dconf worker
   1702    1702 ?        00:00:00 gsd-usb-protect
   1702    1707 ?        00:00:00 gmain
   1702    1730 ?        00:00:00 gdbus
   1702    1782 ?        00:00:00 dconf worker
   1706    1706 ?        00:00:00 gsd-wacom
   1706    1736 ?        00:00:00 gmain
   1706    1762 ?        00:00:00 gdbus
   1711    1711 ?        00:00:00 gsd-wwan
   1711    1720 ?        00:00:00 gmain
   1711    1737 ?        00:00:00 gdbus
   1711    1784 ?        00:00:00 dconf worker
   1718    1718 ?        00:00:00 gsd-xsettings
   1718    1739 ?        00:00:00 gmain
   1718    1750 ?        00:00:00 gdbus
   1718    1788 ?        00:00:00 dconf worker
   1733    1733 ?        00:00:00 gsd-disk-utilit
   1733    1754 ?        00:00:00 gmain
   1733    1763 ?        00:00:00 gdbus
   1735    1735 ?        00:00:00 gsd-printer
   1735    1747 ?        00:00:00 gmain
   1735    1753 ?        00:00:00 gdbus
